fold,test_start,mean_ic
0,2011-01-10,0.04609944632122766
1,2011-02-09,0.03384517359477072
2,2011-03-11,0.023450719308787296
3,2011-04-11,0.012605033988523069
4,2011-05-11,-0.004482472884436339
5,2011-06-10,0.008516951694223448
6,2011-07-12,0.019801359933598536
7,2011-08-10,0.06879335679296619
8,2011-09-09,0.0593657220048506
9,2011-10-10,0.07634817692405332
10,2011-11-08,0.05890753122474817
11,2011-12-08,0.0692186387914853
12,2012-01-10,0.06721162368512304
13,2012-02-09,0.03930407188928802
14,2012-03-12,0.03386043316152562
15,2012-04-11,0.03823693869814427
16,2012-05-10,0.032388593120613034
17,2012-06-11,0.04162539797104777
18,2012-07-11,0.03804794163302287
19,2012-08-09,0.030480609444990165
20,2012-09-10,0.027157728357317855
21,2012-10-09,0.030318740048099035
22,2012-11-09,0.016517029523488387
23,2012-12-11,0.009985818744560235
24,2013-01-11,0.03344792875695262
25,2013-02-12,0.043533499914847305
26,2013-03-14,0.026893489274300488
27,2013-04-15,0.03554008845225993
28,2013-05-14,0.04224566320505241
29,2013-06-13,0.035887285227730284
30,2013-07-15,0.025590147944348534
31,2013-08-13,0.04043618535582283
32,2013-09-12,0.015262649636264999
33,2013-10-11,0.032404024180987694
34,2013-11-11,0.03726524773574875
35,2013-12-11,0.032691698137980486
36,2014-01-13,0.047852555726558416
37,2014-02-12,0.044481572853733185
38,2014-03-14,0.05112732268212036
39,2014-04-14,0.06989860347359729
40,2014-05-14,0.06262597625577122
41,2014-06-13,0.041858218876217435
42,2014-07-15,0.05713771270353634
43,2014-08-13,0.05526550402642937
44,2014-09-12,0.029223112322097265
45,2014-10-13,0.059279131282429856
46,2014-11-11,0.026889888797170594
47,2014-12-11,0.006149730141154595
48,2015-01-13,-0.0057146225684884195
49,2015-02-12,0.008315306357618965
50,2015-03-16,0.014091326130043278
51,2015-04-15,-0.003869471021062276
52,2015-05-14,-0.0005605861675491452
53,2015-06-15,-0.01755288155081853
54,2015-07-15,0.013524495079235293
55,2015-08-13,0.008575843098481811
56,2015-09-14,0.004345854769302216
57,2015-10-13,0.011967810761632903
58,2015-11-11,0.017006034046496164
59,2015-12-11,0.01770533687331694
60,2016-01-13,0.04715831996013671
61,2016-02-12,0.05135408276429183
62,2016-03-15,0.0401525669139832
63,2016-04-14,0.03384761132193477
64,2016-05-13,0.02854495077327496
65,2016-06-14,0.03924804574778373
66,2016-07-14,0.04001121070665388
67,2016-08-12,0.041185331394476804
68,2016-09-13,0.05175495607114756
69,2016-10-12,0.05455913244994343
70,2016-11-10,0.05840505020524655
71,2016-12-12,0.05718706341969638
72,2017-01-12,0.05289882771268006
73,2017-02-13,0.06225338976579342
74,2017-03-15,0.08032480230602174
75,2017-04-13,0.07409514735057432
76,2017-05-15,0.0746227405940602
77,2017-06-14,0.07392193872678784
78,2017-07-14,0.06957458041632399
79,2017-08-14,0.06809137334846561
80,2017-09-13,0.039664283253269275
81,2017-10-12,0.016878066770061925
82,2017-11-10,-0.0011015384913968978
83,2017-12-12,0.015886045904993873
84,2018-01-12,0.028107599196511547
85,2018-02-13,0.02273988915379223
86,2018-03-15,0.023809764751702822
87,2018-04-16,0.01286435133318722
88,2018-05-15,-0.012571109475440581
89,2018-06-14,-0.015282529646875887
90,2018-07-16,-0.01617376310246704
91,2018-08-14,0.005912591372900229
92,2018-09-13,-0.011484918039417778
93,2018-10-12,0.032428110677902154
94,2018-11-12,0.04934714934372165
95,2018-12-13,0.079023392197084
96,2019-01-15,0.05541504495611342
97,2019-02-14,0.02574755210419507
98,2019-03-18,0.04031345487306023
99,2019-04-16,0.028188978930858342
100,2019-05-16,0.08176515590990362
101,2019-06-17,0.08082744122499062
102,2019-07-17,0.08341965235325183
103,2019-08-15,0.08765083302820377
104,2019-09-16,0.06749219134342345
105,2019-10-15,0.08662269366880387
106,2019-11-13,0.0843255373117872
107,2019-12-13,0.09883667802051149
108,2020-01-15,0.08683552970502657
109,2020-02-14,0.08690506369890606
110,2020-03-17,0.10012538498425881
111,2020-04-16,0.0733057520956371
112,2020-05-15,0.07952257330006142
113,2020-06-16,0.035530880490013045
114,2020-07-16,0.06465156140260467
115,2020-08-14,0.06773399234629283
116,2020-09-15,0.08581564723953759
117,2020-10-14,0.08203076218156627
118,2020-11-12,0.047609654396733765
119,2020-12-14,0.05357123650266404
120,2021-01-14,0.022328502570921713
121,2021-02-16,0.010260224155228028
122,2021-03-17,-0.02106667589826095
123,2021-04-16,-0.03262597131810599
124,2021-05-17,-0.025937936238855267
125,2021-06-16,-0.04586432048664665
126,2021-07-16,0.0017161310475313602
127,2021-08-16,-0.01657427199201011
128,2021-09-15,-0.04641736840024438
129,2021-10-14,-0.04144733816436864
130,2021-11-12,-0.06493456071234349
131,2021-12-14,-0.02823825628744023
132,2022-01-13,-0.0037225403113948807
133,2022-02-14,-0.005123860126145552
134,2022-03-16,0.007368921041718461
135,2022-04-14,0.026234659246925585
136,2022-05-16,0.06085577044429115
137,2022-06-15,0.07186100719645158
138,2022-07-18,0.07842288520073458
139,2022-08-16,0.043108523143867275
140,2022-09-15,0.04525821510720633
141,2022-10-14,0.051942668500866075
142,2022-11-14,0.05009079759247844
143,2022-12-14,0.0484721894662457
144,2023-01-17,0.03123309617991826
145,2023-02-15,0.026450216791448496
146,2023-03-17,0.04321026837491696
147,2023-04-18,0.03908707837618583
148,2023-05-17,0.03430648241961925
149,2023-06-16,0.025600342523608884
150,2023-07-19,0.005999488521456955
151,2023-08-17,0.007735168902058467
152,2023-09-18,0.01837151944692655
153,2023-10-17,0.02089735936420884
154,2023-11-15,0.018656358200749776
155,2023-12-15,0.01780304257451337
156,2024-01-18,0.013558445109070125
157,2024-02-16,0.012982398104547406
158,2024-03-19,-0.02460313281012683
159,2024-04-18,0.02000405151511137
160,2024-05-17,0.03517066083178881
161,2024-06-18,0.0632366985596842
162,2024-07-19,0.04854231203069862
163,2024-08-19,0.07555298699447807
164,2024-09-18,0.06813954776570183
165,2024-10-17,0.05895847495888981
166,2024-11-15,0.07985892668007637
167,2024-12-17,0.08791579083189445
168,2025-01-21,0.0696381692132164
169,2025-02-20,0.0814786527008511
170,2025-03-21,0.08226750881171173
171,2025-04-22,0.11494595924850505
172,2025-05-21,0.07739944293695125
173,2025-06-23,0.06985977415641813
174,2025-07-23,0.03971712338106889
175,2025-08-21,0.05270829922382276
176,2025-09-22,0.004374580573820626
177,2025-10-21,0.011596233800894033
178,2025-11-19,0.049092540939403836
179,2025-12-19,-0.03845874352317763
180,2026-01-22,-0.10367877161240488
181,2026-02-23,-0.01396345885981776
