,mean_ic,ic_std,icir,nw_tstat,nw_pval,hit_rate,n,group,sig
ivol_252,0.0361,0.1995,0.181,3.23,0.0014,0.585,277.0,ivol,**
ivol_63,0.0302,0.1858,0.163,2.94,0.0036,0.573,286.0,ivol,**
ivol_21,0.0241,0.1656,0.145,2.69,0.0076,0.552,288.0,ivol,**
idio_mom_21_252,0.0077,0.1709,0.045,0.84,0.4028,0.55,278.0,idio_momentum,
vol_ratio_21_252,0.0021,0.1074,0.02,0.33,0.7384,0.512,289.0,vol_ratio,
vol_ratio_10_63,0.0002,0.0934,0.002,0.04,0.9681,0.513,298.0,vol_ratio,
vol_ratio_5_21,-0.001,0.0956,-0.011,-0.19,0.8499,0.503,300.0,vol_ratio,
idio_mom_21_126,-0.0045,0.1543,-0.029,-0.6,0.5518,0.518,284.0,idio_momentum,
price_to_ma_200,-0.0093,0.1978,-0.047,-0.99,0.3236,0.541,292.0,price_to_ma,
price_to_ma_5,-0.0104,0.1567,-0.066,-1.29,0.1987,0.472,301.0,price_to_ma,
price_to_ma_20,-0.0138,0.1588,-0.087,-1.8,0.0725,0.468,301.0,price_to_ma,
return_zscore_5,-0.0131,0.1228,-0.106,-2.14,0.0333,0.478,301.0,return_zscore,*
price_to_ma_63,-0.0205,0.1727,-0.119,-2.22,0.027,0.502,299.0,price_to_ma,*
