,mean_ic,ic_std,icir,nw_tstat,nw_pval,hit_rate,n,group,sig
amihud_21,0.0444,0.1073,0.414,8.11,0.0,0.66,300.0,amihud,**
amihud_63,0.0425,0.1048,0.406,7.95,0.0,0.674,298.0,amihud,**
amihud_252,0.041,0.1032,0.397,7.73,0.0,0.664,289.0,amihud,**
ivol_252,0.0361,0.1995,0.181,3.23,0.0014,0.585,277.0,ivol,**
parkinsons_vol_63,0.0396,0.241,0.164,3.16,0.0017,0.569,299.0,parkinson_vol,**
ivol_63,0.0302,0.1858,0.163,2.94,0.0036,0.573,286.0,ivol,**
vol_252,0.0386,0.2529,0.152,2.76,0.0062,0.567,289.0,volatility,**
parkinsons_vol_252,0.0363,0.2425,0.15,2.73,0.0067,0.572,290.0,parkinson_vol,**
downside_dev_21,0.0328,0.2189,0.15,2.96,0.0034,0.55,300.0,volatility,**
downside_dev_63,0.0353,0.2397,0.147,2.74,0.0064,0.554,298.0,volatility,**
parkinsons_vol_21,0.0339,0.2317,0.146,2.92,0.0038,0.558,301.0,parkinson_vol,**
ivol_21,0.0241,0.1656,0.145,2.69,0.0076,0.552,288.0,ivol,**
downside_dev_252,0.0366,0.2525,0.145,2.62,0.0091,0.564,289.0,volatility,**
vol_63,0.0348,0.2428,0.143,2.68,0.0078,0.557,298.0,volatility,**
vol_21,0.03,0.2244,0.134,2.66,0.0083,0.543,300.0,volatility,**
max_21,0.0201,0.1889,0.107,2.19,0.0294,0.55,300.0,extreme,*
rolling_beta,0.0267,0.2788,0.096,1.76,0.0795,0.533,289.0,beta,
mom_252_756,0.0157,0.1661,0.095,1.42,0.1577,0.556,266.0,momentum,
mom_126_252,0.0151,0.1677,0.09,1.42,0.1573,0.572,290.0,momentum,
skew_252,0.0059,0.0924,0.063,1.12,0.2622,0.516,289.0,skewness,
idio_mom_21_252,0.0077,0.1709,0.045,0.84,0.4028,0.55,278.0,idio_momentum,
pv_interaction_252,0.0035,0.0805,0.044,0.94,0.3495,0.516,289.0,pv_interaction,
mom_21_252,0.0068,0.1967,0.034,0.64,0.5213,0.566,290.0,momentum,
pv_interaction_21,0.0019,0.0731,0.026,0.5,0.617,0.523,300.0,pv_interaction,
vol_ratio_21_252,0.0021,0.1074,0.02,0.33,0.7384,0.512,289.0,vol_ratio,
vol_ratio_10_63,0.0002,0.0934,0.002,0.04,0.9681,0.513,298.0,vol_ratio,
pv_interaction_63,-0.0005,0.0765,-0.007,-0.13,0.8978,0.513,298.0,pv_interaction,
vol_ratio_5_21,-0.001,0.0956,-0.011,-0.19,0.8499,0.503,300.0,vol_ratio,
skew_21,-0.0017,0.0827,-0.02,-0.37,0.7103,0.453,300.0,skewness,
idiosyncratic,-0.003,0.1275,-0.023,-0.4,0.6914,0.495,289.0,beta,
idio_mom_21_126,-0.0045,0.1543,-0.029,-0.6,0.5518,0.518,284.0,idio_momentum,
mom_1_5,-0.006,0.1645,-0.037,-0.72,0.4717,0.482,301.0,momentum,
mom_21_126,-0.0069,0.1752,-0.04,-0.79,0.4311,0.53,296.0,momentum,
price_to_ma_200,-0.0093,0.1978,-0.047,-0.99,0.3236,0.541,292.0,price_to_ma,
vol_surprise_252,-0.0044,0.0778,-0.056,-1.03,0.3062,0.459,290.0,vol_surprise,
price_to_ma_5,-0.0104,0.1567,-0.066,-1.29,0.1987,0.472,301.0,price_to_ma,
return_zscore_21,-0.0093,0.1243,-0.075,-1.5,0.1337,0.48,300.0,return_zscore,
skew_63,-0.0068,0.0844,-0.08,-1.26,0.2102,0.473,298.0,skewness,
return_zscore_63,-0.0104,0.1258,-0.082,-1.62,0.106,0.5,298.0,return_zscore,
price_to_ma_20,-0.0138,0.1588,-0.087,-1.8,0.0725,0.468,301.0,price_to_ma,
vol_surprise_21,-0.006,0.067,-0.09,-1.61,0.1088,0.475,301.0,vol_surprise,
return_zscore_252,-0.0115,0.1283,-0.09,-1.68,0.0945,0.457,289.0,return_zscore,
dist_252_high,-0.0214,0.2146,-0.1,-1.91,0.0567,0.49,290.0,extreme,
return_zscore_5,-0.0131,0.1228,-0.106,-2.14,0.0333,0.478,301.0,return_zscore,*
vol_surprise_63,-0.0078,0.0713,-0.109,-2.0,0.0463,0.458,299.0,vol_surprise,*
price_to_ma_63,-0.0205,0.1727,-0.119,-2.22,0.027,0.502,299.0,price_to_ma,*
mom_1_21,-0.0211,0.162,-0.131,-2.68,0.0077,0.468,301.0,momentum,**
dollar_volume_63,-0.0315,0.0998,-0.316,-5.51,0.0,0.378,299.0,liquidity,**
dollar_volume_21,-0.0353,0.1006,-0.351,-6.07,0.0,0.372,301.0,liquidity,**
