rank,feature,group,mean_ic,ic_std,icir,nw_tstat,nw_pval,hit_rate,sig
1,amihud_21,amihud,0.0444,0.1073,0.414,8.11,0.0,0.66,**
2,amihud_63,amihud,0.0425,0.1048,0.406,7.95,0.0,0.674,**
3,amihud_252,amihud,0.041,0.1032,0.397,7.73,0.0,0.664,**
4,ivol_252,ivol,0.0361,0.1995,0.181,3.23,0.0014,0.585,**
5,parkinsons_vol_63,parkinson_vol,0.0396,0.241,0.164,3.16,0.0017,0.569,**
6,ivol_63,ivol,0.0302,0.1858,0.163,2.94,0.0036,0.573,**
7,vol_252,volatility,0.0386,0.2529,0.152,2.76,0.0062,0.567,**
8,parkinsons_vol_252,parkinson_vol,0.0363,0.2425,0.15,2.73,0.0067,0.572,**
9,downside_dev_21,volatility,0.0328,0.2189,0.15,2.96,0.0034,0.55,**
10,downside_dev_63,volatility,0.0353,0.2397,0.147,2.74,0.0064,0.554,**
11,parkinsons_vol_21,parkinson_vol,0.0339,0.2317,0.146,2.92,0.0038,0.558,**
12,downside_dev_252,volatility,0.0366,0.2525,0.145,2.62,0.0091,0.564,**
13,ivol_21,ivol,0.0241,0.1656,0.145,2.69,0.0076,0.552,**
14,vol_63,volatility,0.0348,0.2428,0.143,2.68,0.0078,0.557,**
15,vol_21,volatility,0.03,0.2244,0.134,2.66,0.0083,0.543,**
16,max_21,extreme,0.0201,0.1889,0.107,2.19,0.0294,0.55,*
17,rolling_beta,beta,0.0267,0.2788,0.096,1.76,0.0795,0.533,
18,mom_252_756,momentum,0.0157,0.1661,0.095,1.42,0.1577,0.556,
19,mom_126_252,momentum,0.0151,0.1677,0.09,1.42,0.1573,0.572,
20,skew_252,skewness,0.0059,0.0924,0.063,1.12,0.2622,0.516,
21,idio_mom_21_252,idio_momentum,0.0077,0.1709,0.045,0.84,0.4028,0.55,
22,pv_interaction_252,pv_interaction,0.0035,0.0805,0.044,0.94,0.3495,0.516,
23,mom_21_252,momentum,0.0068,0.1967,0.034,0.64,0.5213,0.566,
24,pv_interaction_21,pv_interaction,0.0019,0.0731,0.026,0.5,0.617,0.523,
25,vol_ratio_21_252,vol_ratio,0.0021,0.1074,0.02,0.33,0.7384,0.512,
26,vol_ratio_10_63,vol_ratio,0.0002,0.0934,0.002,0.04,0.9681,0.513,
27,pv_interaction_63,pv_interaction,-0.0005,0.0765,-0.007,-0.13,0.8978,0.513,
28,vol_ratio_5_21,vol_ratio,-0.001,0.0956,-0.011,-0.19,0.8499,0.503,
29,skew_21,skewness,-0.0017,0.0827,-0.02,-0.37,0.7103,0.453,
30,idiosyncratic,beta,-0.003,0.1275,-0.023,-0.4,0.6914,0.495,
31,idio_mom_21_126,idio_momentum,-0.0045,0.1543,-0.029,-0.6,0.5518,0.518,
32,mom_1_5,momentum,-0.006,0.1645,-0.037,-0.72,0.4717,0.482,
33,mom_21_126,momentum,-0.0069,0.1752,-0.04,-0.79,0.4311,0.53,
34,price_to_ma_200,price_to_ma,-0.0093,0.1978,-0.047,-0.99,0.3236,0.541,
35,vol_surprise_252,vol_surprise,-0.0044,0.0778,-0.056,-1.03,0.3062,0.459,
36,price_to_ma_5,price_to_ma,-0.0104,0.1567,-0.066,-1.29,0.1987,0.472,
37,return_zscore_21,return_zscore,-0.0093,0.1243,-0.075,-1.5,0.1337,0.48,
38,skew_63,skewness,-0.0068,0.0844,-0.08,-1.26,0.2102,0.473,
39,return_zscore_63,return_zscore,-0.0104,0.1258,-0.082,-1.62,0.106,0.5,
40,price_to_ma_20,price_to_ma,-0.0138,0.1588,-0.087,-1.8,0.0725,0.468,
41,vol_surprise_21,vol_surprise,-0.006,0.067,-0.09,-1.61,0.1088,0.475,
42,return_zscore_252,return_zscore,-0.0115,0.1283,-0.09,-1.68,0.0945,0.457,
43,dist_252_high,extreme,-0.0214,0.2146,-0.1,-1.91,0.0567,0.49,
44,return_zscore_5,return_zscore,-0.0131,0.1228,-0.106,-2.14,0.0333,0.478,*
45,vol_surprise_63,vol_surprise,-0.0078,0.0713,-0.109,-2.0,0.0463,0.458,*
46,price_to_ma_63,price_to_ma,-0.0205,0.1727,-0.119,-2.22,0.027,0.502,*
47,mom_1_21,momentum,-0.0211,0.162,-0.131,-2.68,0.0077,0.468,**
48,dollar_volume_63,liquidity,-0.0315,0.0998,-0.316,-5.51,0.0,0.378,**
49,dollar_volume_21,liquidity,-0.0353,0.1006,-0.351,-6.07,0.0,0.372,**
