feature,mean_ic,icir,nw_tstat,nw_pval,sig,hit_rate,type,window
pv_interaction_3,-0.002,-0.027,-0.5,0.6152,,0.495,pv_interaction,3
pv_interaction_5,0.0021,0.028,0.53,0.5944,,0.472,pv_interaction,5
pv_interaction_10,-0.0004,-0.005,-0.1,0.9229,,0.502,pv_interaction,10
pv_interaction_21,0.0019,0.026,0.5,0.617,,0.523,pv_interaction,21
pv_interaction_63,-0.0005,-0.007,-0.13,0.8978,,0.513,pv_interaction,63
pv_interaction_252,0.0035,0.044,0.94,0.3495,,0.516,pv_interaction,252
return_zscore_3,-0.0116,-0.093,-1.87,0.0625,,0.478,return_zscore,3
return_zscore_5,-0.0131,-0.106,-2.14,0.0333,*,0.478,return_zscore,5
return_zscore_10,-0.0117,-0.094,-1.83,0.0677,,0.458,return_zscore,10
return_zscore_21,-0.0093,-0.075,-1.5,0.1337,,0.48,return_zscore,21
return_zscore_63,-0.0104,-0.082,-1.62,0.106,,0.5,return_zscore,63
return_zscore_252,-0.0115,-0.09,-1.68,0.0945,,0.457,return_zscore,252
vol_surprise_3,-0.007,-0.106,-1.81,0.071,,0.435,vol_surprise,3
vol_surprise_5,-0.0052,-0.078,-1.43,0.153,,0.478,vol_surprise,5
vol_surprise_10,-0.0057,-0.088,-1.62,0.1056,,0.465,vol_surprise,10
vol_surprise_21,-0.006,-0.09,-1.61,0.1088,,0.475,vol_surprise,21
vol_surprise_63,-0.0078,-0.109,-2.0,0.0463,*,0.458,vol_surprise,63
vol_surprise_252,-0.0044,-0.056,-1.03,0.3062,,0.459,vol_surprise,252
