fold,test_start,mean_ic
0,2011-02-08,0.1030733533901682
1,2011-03-11,0.17522266441543938
2,2011-04-08,0.06956276102337974
3,2011-05-10,-0.1756240421556484
4,2011-06-09,0.17719095976111876
5,2011-07-11,-0.2811604866108052
6,2011-08-10,-0.058121941750456756
7,2011-09-09,-0.07632889593866674
8,2011-10-10,0.31166302582327055
9,2011-11-07,-0.002932057177384353
10,2011-12-08,0.06997716460781868
11,2012-01-10,0.29719002117309956
12,2012-02-07,-0.05897602776873847
13,2012-03-09,-0.128729118526051
14,2012-04-10,0.015908461286612545
15,2012-05-10,-0.18239517312030476
16,2012-06-11,0.013983900934395386
17,2012-07-10,0.010843493264010217
18,2012-08-09,0.12212654998659206
19,2012-09-10,-0.1635163417430709
20,2012-10-08,0.14454990070008722
21,2012-11-07,-0.014229314792076663
22,2012-12-07,0.03841176834854059
23,2013-01-09,0.0675764927351787
24,2013-02-08,0.015917627033914382
25,2013-03-12,0.014789029949832883
26,2013-04-09,0.06489897899783502
27,2013-05-09,-0.08659158384351821
28,2013-06-11,0.11012924192632675
29,2013-07-09,0.0632577797328526
30,2013-08-09,0.12113238025596015
31,2013-09-10,0.053470850966793465
32,2013-10-07,0.020558852230542473
33,2013-11-07,0.13031558054743772
34,2013-12-09,0.21226800379167077
35,2014-01-08,0.022655447300276056
36,2014-02-11,0.14980584960724846
37,2014-03-11,-0.31827073129394545
38,2014-04-11,0.10510662555502975
39,2014-05-13,0.2009965832306441
40,2014-06-10,-0.07283468035654232
41,2014-07-14,0.0038057904004586453
42,2014-08-11,0.11315653049235667
43,2014-09-09,-0.24634031927084393
44,2014-10-10,0.29128597517732674
45,2014-11-10,-0.07225774356673784
46,2014-12-09,0.06891289021412754
47,2015-01-12,0.11690708994907306
48,2015-02-10,-0.003370649580644755
49,2015-03-13,0.1487303006350246
50,2015-04-13,-0.0969938847109371
51,2015-05-11,0.009467803094819463
52,2015-06-11,0.058437326805167715
53,2015-07-13,0.05678042534087788
54,2015-08-10,0.2055793694956718
55,2015-09-10,-0.09640539781764236
56,2015-10-09,0.06114711020347075
57,2015-11-09,6.77486179871049e-05
58,2015-12-08,-0.3277001584074357
59,2016-01-11,-0.23856035726021982
60,2016-02-09,0.40232632165899446
61,2016-03-11,-0.00322188385085889
62,2016-04-12,0.04858499230323193
63,2016-05-12,0.13954710528586334
64,2016-06-13,0.05496027404685399
65,2016-07-12,0.08925666267679608
66,2016-08-11,-0.029203642763503044
67,2016-09-12,-0.06740438708245697
68,2016-10-10,-0.04595153545428843
69,2016-11-07,0.02067785724102614
70,2016-12-09,-0.06498925227688894
71,2017-01-11,0.12624866588982486
72,2017-02-10,-0.19966759299297301
73,2017-03-14,0.07451567876524882
74,2017-04-10,0.014584047562372093
75,2017-05-15,-0.04770094068970822
76,2017-06-13,0.09152893332109407
77,2017-07-11,-0.004390665898931569
78,2017-08-11,0.05296982745431837
79,2017-09-12,0.20523584210248152
80,2017-10-09,-0.010935329444588164
81,2017-11-09,0.06941048514738567
82,2017-12-11,0.07168175711198084
83,2018-01-10,0.03575569329334322
84,2018-02-09,0.18468941219813098
85,2018-03-13,0.025285933430765527
86,2018-04-10,0.18226167865109255
87,2018-05-10,0.10251941622942694
88,2018-06-12,-0.15928185436959974
89,2018-07-10,-0.013326938101363539
90,2018-08-10,0.006576302052044668
91,2018-09-11,-0.3155494919126125
92,2018-10-08,-0.04256755357333471
93,2018-11-08,-0.28965400811614717
94,2018-12-11,0.32681514836523096
95,2019-01-09,0.10403811549514767
96,2019-02-11,0.0367718223984766
97,2019-03-12,0.10943244111302564
98,2019-04-10,-0.04635358719492002
99,2019-05-13,-0.18913161691112587
100,2019-06-11,0.029776303318538762
101,2019-07-11,-0.13314989247756892
102,2019-08-09,0.18288560918988908
103,2019-09-10,-0.22759291340984564
104,2019-10-09,0.48499542254137673
105,2019-11-07,0.051401083902477517
106,2019-12-10,0.09248818524346512
107,2020-01-13,-0.18391870705284055
108,2020-02-11,-0.348011098801759
109,2020-03-13,0.008529204917782151
110,2020-04-14,-0.17556463462797073
111,2020-05-14,0.49998977746047757
112,2020-06-15,-0.06419021688511581
113,2020-07-14,0.2523067315319498
114,2020-08-13,0.028162063804754868
115,2020-09-14,0.07840212827077381
116,2020-10-12,0.25445672989099094
117,2020-11-09,0.13548789323634514
118,2020-12-11,0.11450489382566877
119,2021-01-13,0.1956321806453444
120,2021-02-12,0.28635228301279764
121,2021-03-16,0.06304768673908012
122,2021-04-13,0.07220716477458046
123,2021-05-13,0.36102505373349825
124,2021-06-15,-0.18818905730403543
125,2021-07-13,-0.04454894594747269
126,2021-08-13,0.17206695398545996
127,2021-09-14,-0.02295760266897788
128,2021-10-11,0.3402201788025218
129,2021-11-11,-0.24096706915043078
130,2021-12-13,-0.0544961829342135
131,2022-01-11,-0.3057743755961074
132,2022-02-14,-0.18872069169661174
133,2022-03-15,-0.21839148281674406
134,2022-04-14,-0.11789466023904913
135,2022-05-16,0.06108223141389883
136,2022-06-14,-0.016575995562819735
137,2022-07-18,0.3901447787408714
138,2022-08-15,-0.2738942944076974
139,2022-09-13,-0.2465392550808271
140,2022-10-13,0.34044118080919533
141,2022-11-11,-0.14760183781083372
142,2022-12-13,0.19804811272326037
143,2023-01-11,0.3967937043168455
144,2023-02-14,-0.2629343882963541
145,2023-03-14,-0.15327096664714285
146,2023-04-14,0.006409619786343401
147,2023-05-15,0.4202551669482817
148,2023-06-13,0.23447058962413447
149,2023-07-17,-0.09605116028279682
150,2023-08-14,-0.06723786716726951
151,2023-09-12,-0.11468200758745195
152,2023-10-12,-0.1425832870560398
153,2023-11-10,0.19697013303715863
154,2023-12-12,0.048375304826520506
155,2024-01-12,-0.0107023685926069
156,2024-02-13,0.15464335900717097
157,2024-03-14,-0.052475939831470156
158,2024-04-16,0.03291514261314367
159,2024-05-13,0.04381220030059404
160,2024-06-14,0.16687396521697642
161,2024-07-17,-0.04799456067943794
162,2024-08-12,-0.05899057661569292
163,2024-09-13,0.4281979149271179
164,2024-10-14,-0.04958351027029606
165,2024-11-11,-0.004685640670849536
166,2024-12-10,0.048638309039291935
167,2025-01-15,-0.10712617792303841
168,2025-02-11,-0.3714726721855095
169,2025-03-17,-0.25943416249408147
170,2025-04-14,0.6213470423967159
171,2025-05-16,-0.1463360970233185
172,2025-06-16,0.32774173481429336
173,2025-07-16,0.028363967019743787
174,2025-08-14,0.23508470848691757
175,2025-09-15,-0.07202888070342173
176,2025-10-13,0.015456323300268054
177,2025-11-10,0.15428214247054195
178,2025-12-12,-0.005406755068149253
179,2026-01-14,-0.14436139754152
180,2026-02-17,-0.05563743322648062
