fold,test_start,mean_ic
0,2011-02-08,0.034804381630075924
1,2011-03-11,0.02802563814253747
2,2011-04-08,-0.0010985869363634045
3,2011-05-10,-0.003846839986941974
4,2011-06-09,0.003361298728313325
5,2011-07-11,-0.0049430041107309634
6,2011-08-10,0.037883709346025286
7,2011-09-09,0.06526601711565388
8,2011-10-10,0.060336039120050707
9,2011-11-07,0.039667520379056645
10,2011-12-08,0.05866655663105518
11,2012-01-10,0.05511710670960964
12,2012-02-07,0.03609410754800566
13,2012-03-09,0.024184110347367577
14,2012-04-10,0.0228632199634934
15,2012-05-10,0.049613797441311926
16,2012-06-11,0.04465303974046564
17,2012-07-10,0.0426216484783708
18,2012-08-09,0.03905955704071833
19,2012-09-10,0.036224934198339685
20,2012-10-08,0.05759190784922235
21,2012-11-07,0.0393462111595688
22,2012-12-07,0.04287217903551816
23,2013-01-09,0.04414305514897829
24,2013-02-08,0.05739824041927403
25,2013-03-12,0.06802109018781557
26,2013-04-09,0.06400460803185289
27,2013-05-09,0.029082881957678917
28,2013-06-11,0.07084637182829062
29,2013-07-09,0.07536711599529335
30,2013-08-09,0.059980305094555375
31,2013-09-10,0.057907988407313316
32,2013-10-07,0.03438015926611815
33,2013-11-07,0.047852630582954046
34,2013-12-09,0.041131934934993404
35,2014-01-08,0.02130993598142174
36,2014-02-11,0.037390666680422686
37,2014-03-11,0.021217143206651523
38,2014-04-11,0.08106513189026875
39,2014-05-13,0.06569671273666039
40,2014-06-10,0.04564810561467275
41,2014-07-14,0.05354524684029455
42,2014-08-11,0.03667745957411853
43,2014-09-09,0.049635318366159115
44,2014-10-10,0.07077523232962031
45,2014-11-10,0.049486219365298845
46,2014-12-09,0.040897472288297064
47,2015-01-12,0.008676113090540347
48,2015-02-10,-0.0083942841285312
49,2015-03-13,0.008372081441548324
50,2015-04-13,0.006707437263357849
51,2015-05-11,0.012912736127265512
52,2015-06-11,0.00909779772193727
53,2015-07-13,0.01078636225440708
54,2015-08-10,0.02396656897498228
55,2015-09-10,0.012483624603824425
56,2015-10-09,0.028678054447938042
57,2015-11-09,0.013212702939442302
58,2015-12-08,0.033398458511285554
59,2016-01-11,0.05159540564186324
60,2016-02-09,0.09381529166659536
61,2016-03-11,0.04719379247351841
62,2016-04-12,0.054168105735431404
63,2016-05-12,0.06029442072352487
64,2016-06-13,0.048760020208679984
65,2016-07-12,0.05441450333122564
66,2016-08-11,0.0395835528269798
67,2016-09-12,0.046132017694132964
68,2016-10-10,0.051826666145405764
69,2016-11-07,0.06385994230602184
70,2016-12-09,0.060953846850948325
71,2017-01-11,0.07131234395515075
